descricao,discente,id_curso,id_turma,media_final,numero_total_faltas,reposicao,nome,periodoano
APROVADO POR NOTA,9569072048800b42d56b8160657c326b,10320810.0,57586081,5.7,2.0,f,CÁLCULO III,20162
CANCELADO,24bfc28658acf8888438d7bd734f4c17,10320810.0,57586081,3.5,4.0,t,CÁLCULO III,20162
CANCELADO,24bfc28658acf8888438d7bd734f4c17,10320810.0,57586081,3.5,4.0,f,CÁLCULO III,20162
APROVADO POR NOTA,e4e52a33fc925a02c14f1e0082e8ce5e,10320810.0,57586081,5.9,2.0,f,CÁLCULO III,20162
REPROVADO,4e7f64d5fd683f04d6c36b028069b9bd,10320810.0,57586081,4.0,2.0,f,CÁLCULO III,20162
REPROVADO,10a15ecaeecfb92e7bc359b1e980ace7,10320810.0,57586081,0.0,2.0,f,CÁLCULO III,20162
REPROVADO,088b73b004838e8792abc86f1043be9e,10320810.0,57586081,1.8,2.0,f,CÁLCULO III,20162
REPROVADO,4eb9cc44f60b9cb3b1c1d59f559ee25a,10320810.0,57586081,0.0,2.0,f,CÁLCULO III,20162
REPROVADO,385497c80c4bcd4875341a669b27fc42,10320810.0,57586081,0.3,2.0,f,CÁLCULO III,20162
REPROVADO,5c2f67aaecf16a3b912867b38ff7d806,10320810.0,57586081,0.0,2.0,f,CÁLCULO III,20162
APROVADO POR NOTA,770f407d180693f01f5f676e7a6f3b18,10320810.0,57586081,6.3,4.0,f,CÁLCULO III,20162
APROVADO POR NOTA,d66956d4795a521211fe5321b11dbe7e,10320810.0,57586081,5.1,2.0,f,CÁLCULO III,20162
APROVADO POR NOTA,9bc7e5a4cb4cf9cd99f8425dfb73abf5,10320810.0,57586081,6.3,6.0,f,CÁLCULO III,20162
APROVADO POR NOTA,86b81656f050f1c6bbe280fdec7d3687,10320810.0,57586081,5.1,4.0,t,CÁLCULO III,20162
APROVADO POR NOTA,86b81656f050f1c6bbe280fdec7d3687,10320810.0,57586081,5.1,4.0,f,CÁLCULO III,20162
REPROVADO,b2d02e2f364baee891623e935b0630b2,10320810.0,57586081,0.0,2.0,f,CÁLCULO III,20162
REPROVADO,76a23d48e2c2b5e32a571645fb7890ff,10320810.0,57586081,0.0,2.0,f,CÁLCULO III,20162
REPROVADO,5fdeb2ce24337c2d0eb8ec175c9ed24b,10320810.0,57586081,1.8,2.0,f,CÁLCULO III,20162
REPROVADO,ffab0c04d3e03173943624597a9f6c02,10320810.0,57586081,4.0,2.0,t,CÁLCULO III,20162
REPROVADO,ffab0c04d3e03173943624597a9f6c02,10320810.0,57586081,4.0,2.0,f,CÁLCULO III,20162
REPROVADO,194618d99f075ddbb082e98bdec0f552,10320810.0,57586081,0.0,2.0,f,CÁLCULO III,20162
REPROVADO,f8e75d94c17a67423363520c5966bc91,10320810.0,57586081,0.0,4.0,f,CÁLCULO III,20162
CANCELADO,b4c0c1aaea9f5cc6f17c456a47baedf3,10320810.0,57586081,0.0,4.0,f,CÁLCULO III,20162
APROVADO POR NOTA,fe861446e2aa87cce4196baaca2d9809,10320810.0,57586081,5.1,2.0,f,CÁLCULO III,20162
REPROVADO POR MÉDIA E POR FALTAS,69dfb67ae09c38714d12bf83d7ae2f0f,10320810.0,57586078,4.5,26.0,f,CÁLCULO III,20162
REPROVADO,832f3d85c1085456bae82bb5a8238d5a,10320810.0,57586078,0.5,0.0,f,CÁLCULO III,20162
APROVADO POR NOTA,31992d791ce75b7cb04708ccf5f7a669,10320810.0,57586078,5.7,16.0,f,CÁLCULO III,20162
APROVADO POR NOTA,31992d791ce75b7cb04708ccf5f7a669,10320810.0,57586078,5.7,16.0,t,CÁLCULO III,20162
APROVADO POR NOTA,652856e1a048412db340d7f3ba599cac,10320810.0,57586078,5.1,0.0,f,CÁLCULO III,20162
APROVADO,6b5c83eb286aa77d302fbfa6f8b50684,10320810.0,57586078,7.4,0.0,f,CÁLCULO III,20162
REPROVADO,173ff04b3cd89bc1d7b428dc698351f1,10320810.0,57586078,0.9,0.0,f,CÁLCULO III,20162
CANCELADO,215e12a12e7cfd667a68a73fea13bc6b,10320810.0,57586078,1.0,0.0,f,CÁLCULO III,20162
REPROVADO,9f1e5c191036a836d0b969b0d9d5a597,10320810.0,57586078,0.0,0.0,f,CÁLCULO III,20162
REPROVADO,4eb15d6990e8fa75ea5431b1f2798564,10320810.0,57586078,0.0,0.0,f,CÁLCULO III,20162
REPROVADO,5905aaf319a1e40f4872388cdc99dc75,10320810.0,57586078,0.0,0.0,f,CÁLCULO III,20162
REPROVADO,5b3274b0832fef56db25be0aad2544f4,10320810.0,57586078,0.0,0.0,f,CÁLCULO III,20162
REPROVADO,a56deffc44ceca8e9ff89b39c9109a66,10320810.0,57586078,0.0,0.0,f,CÁLCULO III,20162
REPROVADO,da927e76110ada3551e0c16f038be9ee,10320810.0,57586078,4.0,4.0,t,CÁLCULO III,20162
REPROVADO,da927e76110ada3551e0c16f038be9ee,10320810.0,57586078,4.0,4.0,f,CÁLCULO III,20162
REPROVADO,28712cd653dc653b2727e35bc529d6aa,10320810.0,57586078,0.8,0.0,f,CÁLCULO III,20162
REPROVADO,e1c9d013f7edf57d1d9c64808b88f61f,10320810.0,57586078,0.0,0.0,f,CÁLCULO III,20162
REPROVADO,f163cfc441f5b201ad30a8b1ceef9fcc,10320810.0,57586078,1.7,0.0,f,CÁLCULO III,20162
REPROVADO,3446cf05d7adb4aacf73f901c0e422f6,10320810.0,57586078,1.0,0.0,f,CÁLCULO III,20162
REPROVADO,014d0049a66c06dd7b4b97d25b5530c3,10320810.0,57586078,4.5,2.0,f,CÁLCULO III,20162
REPROVADO,014d0049a66c06dd7b4b97d25b5530c3,10320810.0,57586078,4.5,2.0,t,CÁLCULO III,20162
APROVADO POR NOTA,0a1a2ca9897b454b56d84a4b4e36bda0,10320810.0,57586078,5.8,0.0,f,CÁLCULO III,20162
REPROVADO,fa00a633c19c2015bd59d74b24407075,10320810.0,57586078,0.0,0.0,f,CÁLCULO III,20162
REPROVADO,7b99e9744a170225dd1d925b558377de,10320810.0,57586078,0.0,0.0,f,CÁLCULO III,20162
REPROVADO,9a21dec60cc631a518d0485e9e1dde6d,10320810.0,57586078,4.0,6.0,t,CÁLCULO III,20162
REPROVADO,9a21dec60cc631a518d0485e9e1dde6d,10320810.0,57586078,4.0,6.0,f,CÁLCULO III,20162
REPROVADO,e0830e6363b8c6a692d3aea55eab73c1,10320810.0,57586078,3.5,4.0,f,CÁLCULO III,20162
REPROVADO,7b3beb42e48c047ef212662ccb5a2d66,10320810.0,57586078,4.2,8.0,f,CÁLCULO III,20162
REPROVADO,7b3beb42e48c047ef212662ccb5a2d66,10320810.0,57586078,4.2,8.0,t,CÁLCULO III,20162
CANCELADO,d1b2eebf5d6c544bb2bcee0f2247424e,10320810.0,57586078,1.1,0.0,f,CÁLCULO III,20162
APROVADO,78e9329cfcd54843f06e29aa49f07739,10320810.0,57586078,8.3,0.0,f,CÁLCULO III,20162
REPROVADO,a91f94d8bd4f319add7fe2306c9535d6,10320810.0,57586078,1.0,0.0,f,CÁLCULO III,20162
CANCELADO,92ffa8c4cdf4fbccb6797a7befaf8c88,10320810.0,57586078,2.3,0.0,f,CÁLCULO III,20162
REPROVADO,649d181187fa12780dca416e3c25d9ad,10320810.0,57586078,2.3,0.0,f,CÁLCULO III,20162
REPROVADO,52275ccb54165b3ff248cd5250f2a507,10320810.0,57586078,1.2,0.0,f,CÁLCULO III,20162
REPROVADO,87c21d1da3672e48be9722d2facdece6,10320810.0,57586078,0.0,0.0,f,CÁLCULO III,20162
APROVADO POR NOTA,902b544a315d89850c0342de87f28556,10320810.0,57586078,5.9,0.0,f,CÁLCULO III,20162
REPROVADO,255c866a093dbe20ed7b8805330c1deb,10320810.0,57586078,0.0,0.0,f,CÁLCULO III,20162
REPROVADO,52f6e83d9098b30686b2c73988fe47d8,10320810.0,57586078,3.3,6.0,f,CÁLCULO III,20162
REPROVADO,b1c61d219ad1ce7f3db3e45c308a4d8f,10320810.0,57586078,0.0,0.0,f,CÁLCULO III,20162
REPROVADO,db0bdf2f513d021f8a4a8c8aef70cc1f,10320810.0,57586078,1.7,0.0,f,CÁLCULO III,20162
REPROVADO,69f43f9f967ba22614581cb2fbc73d88,10320810.0,57586078,0.0,0.0,f,CÁLCULO III,20162
REPROVADO,bee28c9d0d3a84d7653d058e084e8581,10320810.0,57586078,0.8,0.0,f,CÁLCULO III,20162
REPROVADO,b3141ec4bbcb82a33da7c7d9c73a691f,10320810.0,57586078,0.6,0.0,f,CÁLCULO III,20162
REPROVADO,4dd764ff30ca9db7e658c1ad4857979c,10320810.0,57586078,3.5,12.0,f,CÁLCULO III,20162
APROVADO POR NOTA,230ddd6a23c3f337d462579a3e8a630b,10320810.0,57586078,5.0,0.0,f,CÁLCULO III,20162
REPROVADO POR MÉDIA E POR FALTAS,527a3a5a022b284c18b1acf13d4a8b7f,10320810.0,57586079,0.0,42.0,f,CÁLCULO III,20162
REPROVADO POR MÉDIA E POR FALTAS,84fdaa4fdde6566e26dfa1668a4cebfd,10320810.0,57586079,0.0,56.0,f,CÁLCULO III,20162
APROVADO,1f40f7a76504a16128d41b8e39426dea,10320810.0,57586079,7.1,14.0,f,CÁLCULO III,20162
APROVADO POR NOTA,0ca711b8b324d25cc27ce1acd0785752,10320810.0,57586079,5.8,16.0,f,CÁLCULO III,20162
APROVADO POR NOTA,835855c900ff85e56c98937262d1cbb1,10320810.0,57586079,5.0,14.0,t,CÁLCULO III,20162
APROVADO POR NOTA,835855c900ff85e56c98937262d1cbb1,10320810.0,57586079,5.0,14.0,f,CÁLCULO III,20162
CANCELADO,ec6e87ad0200784564051727ff0fba9a,10320810.0,57586079,0.2,58.0,f,CÁLCULO III,20162
CANCELADO,489b8622694351f39786dcee9356f657,10320810.0,57586079,0.0,68.0,f,CÁLCULO III,20162
REPROVADO POR MÉDIA E POR FALTAS,dee039f41f5cd28062a27e68d96bde5f,10320810.0,57586079,3.0,52.0,f,CÁLCULO III,20162
APROVADO POR NOTA,462b0f977a0510d690c38e2ea5e4001d,10320810.0,57586079,5.0,12.0,f,CÁLCULO III,20162
APROVADO POR NOTA,462b0f977a0510d690c38e2ea5e4001d,10320810.0,57586079,5.0,12.0,t,CÁLCULO III,20162
REPROVADO POR MÉDIA E POR FALTAS,34a3b19bf2690842fc806c8711968fab,10320810.0,57586079,0.5,48.0,f,CÁLCULO III,20162
REPROVADO POR MÉDIA E POR FALTAS,375a4cbb3c17074afe248bb4c784e753,10320810.0,57586079,0.0,72.0,f,CÁLCULO III,20162
REPROVADO POR MÉDIA E POR FALTAS,d775a0826fe7a5a1e8c14b3a8d27eb0f,10320810.0,57586079,0.0,60.0,f,CÁLCULO III,20162
REPROVADO,71eeef6a85867448b8208deb3ca5559e,10320810.0,57586079,2.3,8.0,f,CÁLCULO III,20162
REPROVADO POR MÉDIA E POR FALTAS,53e8c66f9f74fb161d6b56cf1f8e894c,10320810.0,57586079,0.5,32.0,f,CÁLCULO III,20162
REPROVADO,fde3300c2af76d0f90201295a6778c65,10320810.0,57586079,0.5,24.0,f,CÁLCULO III,20162
CANCELADO,0a17ebcf5ecc2df025f79b0f14191140,10320810.0,57586079,0.0,72.0,f,CÁLCULO III,20162
REPROVADO POR MÉDIA E POR FALTAS,556d7a1e4749f1056d06144f8d0b34e5,10320810.0,57586079,0.8,48.0,f,CÁLCULO III,20162
APROVADO POR NOTA,2847b04ebab6c2e7a964669becff4620,10320810.0,57586079,5.0,2.0,f,CÁLCULO III,20162
